;EZ DIDATE ASKO ORDAINTZEN...#BAINA ERAKUSLEIHO#APARTA DA!;I DON'T GET PAID MUCH...#BUT IT'S REALLY GOOD#EXPOSURE!;LE SALAIRE EST NUL...#MAIS C'EST UN BON BOULOT#POUR SE FAIRE CONNAÎTRE !;DAS GEHALT IST MIES...#DOCH MAN WIRD#BEKANNT!;NO ME PAGAN MUCHO.#¡PERO ESTO DA MUCHA#VISIBILIDAD!;NON MI PAGANO MOLTO...#MA ALMENO MI FACCIO PUBBLICITÀ!;O SALÁRIO NÃO É BOM...#MAS EU FAÇO MUITOS#CONTATOS AQUI!;Я НЕ ПОЛУЧУ МНОГО...#НО ЭТО БУДЕТ ХОРОШЕЙ#ПИАР-АКЦИЕЙ!;きゅうりょうの かわりに#こうこくに なまえを# のせてもらえる なんて!;월급은 많지 않지만...#여긴 요리 실력을 다지기에#괜찮은 곳이야!;我的收入不是很多…#但这确实是一个#结识人的好机会!;我的收入不是很多…#但這確實是一個#結識人的好機會!;
;SUKALDE HONETAN ZOPARIK EZ!;NO SOUP IN THIS KITCHEN!;PAS DE SOUPE DANS CETTE CUISINE !;ES GIBT KEINE SUPPE!;¡EN ESTA COCINA NO HAY SOPA!;NIENTE ZUPPE IN QUESTA CUCINA!;NÃO TEM SOPA AQUI!;НИКАКОГО СУПА НА ЭТОЙ КУХНЕ!;あんたに やる スープはないね!;이 주방에서 수프는 안 돼!;厨房没汤了!;廚房沒湯了!;
;EZ ZAIZKIZU HANBURGESA BEGETALAK GUSTATZEN?;YOU DON'T LIKE VEGGIE BURGERS?;TU N'AIMES PAS#LES BURGERS VÉGÉTARIENS ?;MAGST DU KEINE VEGETARISCHEN BURGER?;¿NO TE GUSTA LA HAMBURGUESA VEGETAL?;NON AMI GLI HAMBURGER VEGETALI?;NÃO GOSTA DE#HAMBÚRGUER VEGETARIANO?;ТЫ НЕ ЛЮБИШЬ ВЕГЕТАРИАНСКИЕ БУРГЕРЫ?;ベジタリアンバーガーは いかが?;채식 햄버거는 싫어해?;你不喜欢素食汉堡么?;你不喜歡素食漢堡麼?;
;EZ ZAIZKIZU HANBURGESAK GUSTATZEN?;YOU DON'T LIKE BURGERS?;TU N'AIMES PAS LES BURGERS ?;MAGST DU KEINE BURGER?;¿NO TE GUSTAN LAS HAMBURGUESAS?;NON TI PIACCIONO GLI HAMBURGER?;NÃO GOSTA DE HAMBÚRGUER?;ТЕБЕ НЕ НРАВЯТСЯ БУРГЕРЫ?;ハンバーガーは おすきかな?;햄버거는 싫어해?;你不喜欢汉堡么?;你不喜歡漢堡麼?;
;;;;;;;;;;;;;
;ZOMORRO HORIETAZ ARDURATZEN#BAZARA ZUBIA IREKIKO DUT!;I'LL OPEN THE BRIDGE#IF YOU TAKE CARE#OF THOSE CREEPS!;JE RÉPARE LE PONT#SI TU T'OCCUPES#DE CES CRÔANAILLES !;ICH MACHE DIE BRÜCKE AUF,#WENN DU DICH UM DIESE#CREEPS KÜMMERST!;¡ABRIRÉ EL PUENTE#SI TE OCUPAS#DE ESAS SABANDIJAS!;SE TI SBARAZZI#DI QUEI VERMI,#IO APRO IL PONTE!;VOU ABRIR A PONTE#SE VOCÊ CUIDAR DAQUELES#MELIANTES!;Я ОТКРОЮ МОСТ,#ЕСЛИ ТЫ РАЗБЕРЕШЬСЯ#С ЭТИМИ БАНДИТАМИ!;あいつらを なんとか#してくれたら#はしを わたれるように してあげるケロン!;네가 저 오싹한 녀석들을#처리해준다면#다리를 개방해줄게!;如果你关心那些小溪的话#我就打开桥!;如果你關心那些小溪的話#我就打開橋!;
;BANEKIEN EURETAKO#BAT ZINELA!;I KNEW YOU WERE#ONE OF THEM!;JE LE SAVAIS#TU ES DES LEURS !;ICH WUSSTE, DU GEHÖRST#ZU DENEN!;¡SABÍA QUE ESTABAS#CON ELLOS!;SAPEVO CHE ERI#COME LORO!;EU SABIA QUE VOCÊ#ERA UM DELES!;У МЕНЯ НЕ БЫЛО НИКАКИХ СОМНЕНИЙ,#ЧТО ТЫ С НИМИ ЗАОДНО!;あんたも あいつらの#なかま だったんだな!;역시 너도#녀석들과 한패였구나!;我知道你曾是他们中的一员!;我知道你曾是他們中的一員!;
;ZUBIRIK EZ ZURETZAT!;NO BRIDGE FOR YOU!;PAS DE PONT POUR TOI !;VERGISS DIE BRÜCKE!;¡OLVÍDATE DEL PUENTE!;PUOI SCORDARTI IL PONTE!;NÃO VOU ABRIR A PONTE!;НИКАКОГО МОСТА ТЕБЕ!;だんじて ここは とおさん!;네겐 다리를 열어주지 않겠어!;没有桥了!;沒有橋了!;
;IUPI, ESKERRIK ASKO!#GOAZEN BADA.;YAY, THANKS!#HERE YOU GO.;YOUPI, MERCI !#ET VÔALA.;SUPER, DANKE!#LOS GEHT‘S!;¡YUPI, GRACIAS!#PUEDES PASAR.;SÌ, GRAZIE!#ECCO QUA.;AH, VALEU!#PODE IR AGORA.;УРА, СПАСИБО!#ПРОХОДИ.;ありがとう!#さぁ わたってケロン;만세, 고마워!#자, 이걸 건너.;好,谢谢!#请.;好,謝謝!#請.;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;OKERREKO JENDEAREKIN IBILI NAIZ,#TATUAJEAK ERE EGIN DITUGU!#HOTELEAN GELDITUKO NAIZ...;I MET THE WRONG CROWD,#WE EVEN GOT TATTOOS!#I'LL STAY AT THE HOTEL...;JE ME SUIS LAISSÉ ENTRAÎNER#PAR CETTE GRAINE DE VOYOU.#ON S'EST MÊME FAIT TATOUER !#JE VAIS RENTRER À L'HÔTEL.;ICH WAR MIT DEN FALSCHEN#LEUTEN UNTERWEGS, WURDE#SOGAR TÄTOWIERT!#ICH BLEIBE IM HOTEL...;ME HE JUNTADO CON MALA GENTE,#¡HASTA ME HE TATUADO!#ME QUEDARÉ EN EL HOTEL.;HO INCONTRATO LA GENTE SBAGLIATA,#CI SIAMO PERSINO TATUATI!#ME NE STARÒ IN HOTEL...;EU FUI INFLUENCIADO,#FIZ ATÉ TATUAGENS!#VOU FICAR NO HOTEL...;МНЕ ПОПАЛАСЬ ПЛОХАЯ КОМПАНИЯ,#МЫ ДАЖЕ НАБИЛИ ТАТУШКИ!#Я ОСТАНУСЬ В ОТЕЛЕ...;しょうたいが バレちゃった#タトゥーまで したのに!#ホテルで ゆっくりしよう…;나쁜 녀석들이랑 잠시 어울렸던 것뿐이야.#심지어 우린 문신까지 했었는데!#호텔에나 묵어야겠어...;我遇到了错误的人群,#我们甚至收到了诅咒!#我要在旅馆呆着….;我遇到了錯誤的人群,#我們甚至收到了詛咒!#我要在旅館呆著….;
;BARKATU BENETAN!#HOTELERA ITZULIKO NAIZ...;I'M SO SORRY!#I'LL GO BACK TO THE HOTEL...;NE ME TAPE PLUS !#JE RENTRE À L'HÔTEL...;ENTSCHULDIGUNG!#ICH GEHE WIEDER INS HOTEL...;¡LO SIENTO!#VOLVERÉ AL HOTEL...;MI DISPIACE!#ME NE TORNO IN HOTEL...;EU SINTO MUITO!#VOU VOLTAR PRO HOTEL...;МНЕ ТАК ЖАЛЬ!#Я ПОЙДУ ОБРАТНО В ОТЕЛЬ...;わるいね!#ホテルに もどるとするよ…;정말 미안해!#호텔로 돌아갈게...;太抱歉了!#我要回到旅馆…;太抱歉了!#我要回到旅館…;
;EH?#HOTELERA JOANGO NAIZ LEHORTZERA...;HUH?#I'LL GO DRY OFF AT THE HOTEL...;HUMM ?#JE VAIS ME SÉCHER À L'HÔTEL...;HÄ?#ICH GEHE INS HOTEL UND#TROCKNE MICH AB...;¿EH?#IRÉ A SECARME AL HOTEL...;EH?#VADO AD ASCIUGARMI IN HOTEL...;AHN?#VOU ME SECAR NO HOTEL...;ЧТО?#ПОЙДУ ОБСОХНУ В ОТЕЛЕ...;なんだ?#ホテルで かわかすと するか…;응?#호텔에서 말려야겠다...;啊?#我要回到旅馆烘干…;啊?#我要回到旅館烘乾…;
;;;;;;;;;;;;;
;EZ NAIZ NIRE LOGELATIK IRTENGO!;NOT LEAVING MY ROOM!;JE NE BOUGE PLUS DE MA CHAMBRE !;ICH BLEIBE IM ZIMMER!;¡NO PIENSO IRME DE MI CUARTO!;NON MI MUOVO DALLA MIA CAMERA!;NÃO VOU SAIR DO QUARTO!;НЕ УЙДУ ИЗ СВОЕГО НОМЕРА!;このへやは わたさねぇ!;내 방에서 떠나지 않을 거야!;不要离开我的房间!;不要離開我的房間!;
;BARKATZEKO ESAN DIZUT!;I SAID I WAS SORRY!;J'AI DIT QUE J'ÉTAIS DÉSOLÉ !;ICH SAGTE, ES TUT MIR LEID!;¡HE DICHO QUE PERDÓN!;HO DETTO CHE MI DISPIACE!;EU JÁ PEDI DESCULPA!;ГОВОРЮ ЖЕ, МНЕ ЖАЛЬ!;あやまったろ?!;미안하다고 했잖아!;我说对不起!;我說對不起!;
;DUTXATU NAIZ DAGOENEKO,#ESKERRIK ASKO...;I ALREADY SHOWERED, THANKS...;JE ME SUIS DÉJÀ DOUCHÉ, MERCI...;DANKE, ICH HABE SCHON GEDUSCHT!;YA ME HE DUCHADO, GRACIAS...;GRAZIE, MA HO GIÀ FATTO LA DOCCIA...;JÁ TOMEI BANHO, VALEU...;Я ТОЛЬКО ИЗ ДУША, СПАСИБО...;シャワーあびた ばっかだっつーの…;샤워는 이미 했는데. 고마워...;我已经洗过了,谢谢…;我已經洗過了,謝謝…;
;;;;;;;;;;;;;
;KREDITU-TXARTELA GALDU DUT...#BILATZEN LAGUNDUKO?;I LOST MY CREDIT CARD...#HELP ME FIND IT?;J'AI PERDU MA CARTE DE CRÉDIT...#TU PEUX M'AIDER À LA RETROUVER ?;ICH HABE MEINE KREDITKARTE VERLOREN...#HILFST DU MIR SUCHEN?;HE PERDIDO MI TARJETA DE CRÉDITO.#¿ME AYUDAS A BUSCARLA?;HO PERSO LA CARTA DI CREDITO...#MI AIUTI A TROVARLA?;PERDI MEU CARTÃO DE CRÉDITO...#ME AJUDE A ENCONTRAR?;Я НЕ МОГУ НАЙТИ СВОЮ КРЕДИТКУ...#ПОМОЖЕШЬ МНЕ НАЙТИ ЕЕ?;カードをなくしちゃって…#さがしてくれないか?;내 신용 카드를 잃어버렸어...#찾는 걸 도와주지 않을래?;我信用卡丢了…#能帮我找找么?;我信用卡丟了…#能幫我找找麼?;
;UTZ NAZAZU HEMEN,#ONGI DA...;JUST DROP ME HERE,#IT'S FINE...;JE VEUX PAS DE LIQUIDE,#JE VEUX MA CARTE DE CRÉDIT...;IST GUT. LASSEN SIE#MICH HIER RAUS...;DÉJAME AQUÍ MISMO,#NO PASA NADA...;LASCIAMI PURE QUI,#VA BENE...;VOU FICAR POR AQUI,#TUDO BEM...;ПРОСТО ВЫСАДИ МЕНЯ ЗДЕСЬ,#Я В ПОРЯДКЕ...;おっと もういい#もう じゅうぶんだ…;도와주지 않을 거면 날 내버려 둬.#괜찮으니까...;把我放这把,#没事的…;把我放這把,#沒事的…;
;KARKAR!;HAHA!;HA HA !;HAHA!;¡JA, JA!;AH-HA!;HAHA!;ХА-ХА!;アハハハ!;하하!;哈哈!;哈哈!;
;AURKITU DUT, ESKERRIK ASKO!#HANBURGESAK JATEKO ORDUA.;FOUND IT, THANKS SO MUCH!#TIME TO GET SOME BURGERS.;MERCI, JE L'AI TROUVÉE !#TOUT ÇA M'A OUVERT L'APPÉTIT.;DA IST SIE JA, VIELEN DANK!#ZEIT FÜR EIN PAAR BURGER.;¡ENCONTRADA, MUCHAS GRACIAS!#HORA DE ZAMPAR HAMBURGUESAS.;L'HAI TROVATA, GRAZIE INFINITE!#ORA MI FARÒ QUALCHE HAMBURGER.;ENCONTREI, VALEU MESMO!#VOU PEDIR UNS HAMBÚRGUERES.;НАШЛАСЬ, ОГРОМНОЕ СПАСИБО!#ПОРА ПЕРЕКУСИТЬ БУРГЕРАМИ.;ありがとう みつかったよ!#さぁ ハンバーガーでも たべにいくか;찾았어, 정말 고마워!#이제 햄버거 좀 사 먹으러 가야겠다!;找到了,非常感谢!#是时候去吃点汉堡了.;找到了,非常感謝!#是時候去吃點漢堡了.;
;BERO!;HOT!!!;TU BRÛLES !;HEISS!;¡¡¡CALIENTE!!!;FUOCHISSIMO!!!;QUENTE!!!;ГОРЯЧО!!!;ほらもう めのまえ!!!;뜨거워!!!;热!!!;熱!!!;
;OSO BERO!;REAL WARM!;TU CHAUFFES !;SEHR WARM!;¡CALENTITO!;FUOCO!;BEM MORNO!;ЕЩЕ ТЕПЛЕЕ!;いいかんじに ちかい!;따스해!;太暖和了!;太暖和了!;
;BEROAGO...;LITTLE WARMER...;UN PEU PLUS CHAUD...;ES WIRD WÄRMER...;ALGO MÁS CALIENTE...;FUOCHERELLO...;TÁ ESQUENTANDO...;ТЕПЛЕЕ...;ちょっと ちかづいた;약간 따뜻해...;有点热…;有點熱…;
;HOTZA.;COLD.;FROID.;KALT.;FRÍO.;ACQUA.;FRIO.;ХОЛОДНО.;はなれちゃった;추워.;冷.;冷.;
;ZERO ABSOLUTUA,#IZOTZA BEZAIN HOTZA!;ABSOLUTE ZERO,#COLD AS ICE!;TU GÈLES !;ABSOLUT NULL,#EISKALT!;TÉMPANO TOTAL,#¡FRÍO COMO EL HIELO!;ACQUAZZONE,#DILUVIO UNIVERSALE!;ZERO GRAU,#GELADO COMO GELO!;АБСОЛЮТНЫЙ НОЛЬ,#АЖ МОРОЗНО!;めっちゃ とおい#かすっても いない!;분명 0도일 거야.#얼음처럼 추워!;整整零度,#和冰一样冷!;整整零度,#和冰一樣冷!;
;;;;;;;;;;;;;
;MAITE DUT DIRUA XAHUTZEA...#JANARITAN!;I LOVE SPENDING MONEY...#ON FOOD!;JE DÉPENSE TOUT MON ARGENT...#EN BURGERS !;ICH LIEBE ES, GELD AUSZUGEBEN...#FÜR ESSEN!;ME ENCANTA DERROCHAR...#¡EN COMIDA!;ADORO SPENDERE SOLDI...#IN CIBO!;ADORO GASTAR DINHEIRO...#COM COMIDA!;Я ЛЮБЛЮ ТРАТИТЬ ДЕНЬГИ...#НА ЕДУ!;たべることに おかねを つぎこむって…#サイコー!;난 음식을 사는 데...#돈 쓰는 걸 좋아해!;我喜欢把钱…#花在食物上!;我喜歡把錢…#花在食物上!;
;HAU PETRALA!#ZERBAIT JAN#BEHARKO ZENUKE.;WOW, GRUMPY!#YOU SHOULD#EAT SOMETHING.;ON EST DE MAUVAISE HUMEUR !#ON A SAUTÉ SON PETIT-DÉJEUNER ?;WOW, IGITT!#DU MUSST WOHL#WAS ESSEN.;¡HUY, QUÉ HUMOS!#DEBERÍAS#COMER ALGO.;EHI, CHE CARATTERE!#DOVRESTI#MANGIARE QUALCOSA.;NOSSA, CARA!#VOCÊ DEVERIA#COMER ALGUMA COISA.;ЭЙ, БРЮЗГА!#ТЕБЕ НАДО БЫ#СЪЕСТЬ ЧТО-НИБУДЬ.;きげんでも わるいのか?!#なにか くちに#いれたほうが いいぞ;이런, 성격 나쁜데!#너 뭐 좀#먹어야겠다.;哇,你心情不太好!#你该#吃点东西.;哇,你心情不太好!#你該#吃點東西.;
;ZER GERTATZEN DA?;WHAT'S UP?;QUOI DE NEUF ?;WAS GIBT‘S?;¿QUÉ PASA?;CHE SUCCEDE?;QUE FOI?;КАК ДЕЛА?;なんだよ?;무슨 일이야?;怎么了?;怎麼了?;
;;;;;;;;;;;;;
;JA! ZU ZARA.#HOTELERA ITZULIKO NAIZ!;HA! IT'S YOU.#I'LL GO TO THE HOTEL!;AH ! JE ME SUIS FAIT GRILLER.#D'ACCORD, JE RENTRE À L'HÔTEL !;HA! DU BIST ES!#ICH GEHE INS HOTEL.;¡JA! ERES TÚ.#¡IRÉ AL HOTEL!;AH! SEI TU.#IO VADO IN HOTEL!;HA! É VOCÊ.#EU VOU PRO HOTEL!;ХА! ЭТО ТЫ.#Я ПОЙДУ В ОТЕЛЬ!;なんだ きみか#ホテルへ いこうか!;하! 반가워.#호텔로 가야겠다!;哈!是你.#我要去旅馆!;哈!是你.#我要去旅館!;
;ESKERRIK ASKO?;THANKS?;MERCI ?;DANKE...?;¿GRACIAS?;OH, GRAZIE.;OBRIGADO?;СПАСИБО?;どうもな?;고마워 해야하나?;谢谢?;謝謝?;
;UTZI NENGOEN LEKUAN!;PUT ME BACK!;J'ÉTAIS MIEUX SOUS MA CAISSE !;ICH WILL WIEDER DRUNTER!;¡DÉJAME DONDE ESTABA!;RIMETTIMI SOTTO!;ME PÕE DE VOLTA!;ПОЛОЖИ МЕНЯ ОБРАТНО!;ほっといてくれ!;차라리 다시 상자에 숨겨줘!;把我放回去!;把我放回去!;
;;;;;;;;;;;;;
;KAR KAR KAR!#LEKU HAU IZUGARRIA DA.;HA HA HA!#THIS PLACE RULES.;HA HA HA !#ÇA DÉCHIRE ICI.;HA-HA-HA!#VOLL FETT HIER.;¡JA, JA, JA!#ESTE SITIO MOLA.;AH AH AH!#QUESTO POSTO È MITICO.;HA HA HA!#QUE LUGAR IRADO.;ХА-ХА-ХА!#ЭТО МЕСТО РУЛИТ.;まじ ヤベェ!#ここ おわってんな;하 하 하!#여기 멋진데.;哈哈哈!#这个地方绝了.;哈哈哈!#這個地方絕了.;
;KAR KAR!;HA HA!;HA HA !;HA-HA!;¡JA, JA!;AH AH!;HA HA!;ХА-ХА!;ブヒー!;하 하!;哈哈!;哈哈!;
;KUTXA HORREN AZPIAN#GERATU BEHAR NUEN!;I SHOULD'VE STAYED#UNDER THAT BOX!;SI J'AURAIS SU,#J'AURAIS RESTÉ SOUS MA CAISSE !;ICH HÄTTE UNTER DER#KISTE BLEIBEN SOLLEN!;¡DEBERÍA HABERME QUEDADO#BAJO AQUELLA CAJA!;SAREI DOVUTO RESTARE#SOTTO QUELLA CASSA!;EU DEVIA TER FICADO#EMBAIXO DA CAIXA!;МНЕ СТОИЛО ОСТАВАТЬСЯ#ПОД ТОЙ КОРОБКОI428Й!;あんな ハコに#かくれるんじゃ なかった!;그 상자 아래에#계속 숨어있을걸!;你应该呆在#那个盒子下面!;你應該呆在#那個盒子下面!;
;;;;;;;;;;;;;
;AIZUE, HEMEN!#LANTEGIKO ZUBIA#HONDATU DUTE!;HEY, OVER HERE!#THEY MESSED UP#THE FACTORY BRIDGE!;HÉ, VOUS LÀ-BAS !#ILS ONT COUPÉ#LE PONT DE L'USINE !;HIER DRÜBEN!#DIE HABEN DIE BRÜCKE#KAPUTT GEMACHT!;¡EH, AQUÍ!#¡SE HAN CARGADO EL#PUENTE DE LA FÁBRICA!;EHI, LAGGIÙ!#HANNO DANNEGGIATO#IL PONTE DELLA FABBRICA!;EI, AQUI!#ELES SABOTARAM A#PONTE DA FÁBRICA!;ЭЙ, ТАМ!#ОНИ РАЗЛОМАЛИ#ЗАВОДСКОЙ МОСТ!;おーい、ここだ!#はしが とんでもないことに#なってるんだよ!;저기, 여기야!#그 녀석들이 공장 다리를#엉망으로 만들어버렸어!;嗨,这呢!#他们弄坏了#工厂的桥!;嗨,這呢!#他們弄壞了#工廠的橋!;
;URA KUTSATZEN DUTE,#NIRE AUZIAZ BARRE EGITEN DUTE,#ETA ORAIN EZIN NAIZ ITZULI?;THEY POLLUTE THE WATER,#LAUGH AT MY LAWSUIT,#AND NOW I CAN'T GO BACK?;J'AI PORTÉ PLAINTE CONTRE L'USINE,#MAIS ILS CONTINUENT À POLLUER L'EAU,#ET ILS FONT OBSTRUCTION À LA JUSTICE.;SIE VERGIFTEN DAS WASSER,#LACHEN ÜBER MEINE KLAGE, UND#JETZT KANN ICH NICHT ZURÜCK?;CONTAMINAN EL AGUA,#SE RÍEN DE MI DENUNCIA#¿Y AHORA NO PUEDO VOLVER?;INQUINANO L'ACQUA,#RIDONO DELLA MIA AZIONE LEGALE#E ORA NON MI FANNO TORNARE INDIETRO?;ELES POLUEM A ÁGUA,#IGNORAM MEU PROCESSO,#E AGORA EU NÃO POSSO VOLTAR?;ОНИ ЗАГРЯЗНЯЮТ ВОДУ,#СМЕЮТСЯ НАД МОИМ КОСТЮМОМ,#А ТЕПЕРЬ Я ЕЩЕ И НЕ МОГУ ВЕРНУТЬСЯ!;かわの みずを よごし#わたしの ほうてい まで バカにして#なのに もどれないって?;그 녀석들은 물을 오염시키곤,#내가 고소하겠다는 걸 비웃었어.#그런데 이제 돌아갈 수도 없다니!;他们污染了水,＃嘲笑我诉讼,＃现在我不能回去了?;他們污染了水,＃嘲笑我訴訟,＃現在我不能回去了?;
;KASU EMAN!;WATCH IT!;L'EAU EST UNE MATIÈRE PRÉCIEUSE !;PASS DOCH AUF!;¡CUIDADO!;BASTA!;CUIDADO!;ОСТОРОЖНО!;きをつけてくれ!;조심해!;;;
;EPAIKETAN IKUSIKO DUGU ELKAR!;SEE YOU IN COURT!;JE VOUS VERRAI AU TRIBUNAL !;WIR SEHEN UNS VOR GERICHT!;¡NOS VEMOS EN LOS JUZGADOS!;CI VEDIAMO IN TRIBUNALE!;VOU TE PROCESSAR!;УВИДИМСЯ В СУДЕ!;ほうていで あおう!;법정에서 보자!;法庭见!;法庭見!;
;AZKENEAN!;FINALLY!;ENFIN !;ENDLICH!;¡POR FIN!;FINALMENTE!;FINALMENTE!;НАКОНЕЦ-ТО!;やっとだ!;드디어!;终于!;終於!;
;AUZITARA ERAMANGO DUT#FABRIKA HORI!;I'M GOING TO SUE#THAT FACTORY!;JE VAIS PRÉPARER MA#PLAIDOIRIE CONTRE L'USINE !;ICH VERKLAGE#DIESE FABRIK!;¡VOY A DENUNCIAR A#LOS DE ESA FÁBRICA!;FARÒ CAUSA A#QUELLA FABBRICA!;VOU PROCESSAR#AQUELA FÁBRICA!;Я ЗАСУЖУ#ЭТОТ ЗАВОД!;あの かいしゃを#うったえて やる!;그 공장을#고소할 거야!;我要去告#那家工厂!;我要去告#那家工廠!;
;NIRE TRAJEA!;MY SUIT!;MA ROBE D'AVOCAT !;MEIN ANZUG!;¡MI ROPA!;IL MIO ABITO!;MEU TERNO!;МОЙ КОСТЮМ!;スーツが!;내 옷이!;我的律师服!;我的律師服!;
;EPAIKETAN IKUSIKO DUGU ELKAR!;SEE YOU IN COURT!;JE VOUS VERRAI AU TRIBUNAL !;WIR SEHEN UNS VOR GERICHT!;¡NOS VEMOS EN LOS JUZGADOS!;CI VEDIAMO IN TRIBUNALE!;VOU TE PROCESSAR!;УВИДИМСЯ В СУДЕ!;ほうていで あおう!;법정에서 보자!;法庭见!;法庭見!;
;;;;;;;;;;;;;
;HOR ORAIN HOTELA DAGO?#BERTAN EZKUTATUKO NAIZ.;THERE'S A HOTEL NOW?#I'LL HIDE THERE.;IL Y A UN HÔTEL ?#JE VAIS M'Y CACHER !;ES GIBT EIN HOTEL?#DA VERSTECKE ICH MICH.;¿AHORA HAY UN HOTEL?#ME ESCONDERÉ ALLÍ.;C'È UN HOTEL ADESSO?#MI NASCONDERÒ LÀ!;TEM UM HOTEL AGORA?#VOU ME ESCONDER LÁ.;ТАМ ТЕПЕРЬ ОТЕЛЬ?#Я СПРЯЧУСЬ ТАМ.;ホテルが?#こんどは そこに かくれるか;저쪽에 호텔이 있다고?#이젠 거기서 숨어야겠어.;那有一家旅馆?#我要藏那.;那有一家旅館?#我要藏那.;
;AAHHHHHHHHHHGG!#HOTELEAN EZKUTATUKO NAIZ.;AAAAHHHHHHHHHHHHHHHHHHHHGG!#I'LL HIDE AT THE HOTEL.;AAAARRRRRRRRRRRRRRRRRRRRGG !#JE VAIS ME CACHER À L'HÔTEL.;AAAAAAAAAAAAAAHHHHHHHHHHGG!#ICH VERSTECKE MICH IM HOTEL.;¡AAAAHHHHHHHHHHHHHHHHHHHHGG!#ME ESCONDERÉ EN EL HOTEL.;AAAAAAAAAAAAAAAAAAAAAHHHHH!#MI NASCONDERÒ NELL'HOTEL.;AAAAHHHHHHHHHHHHHHHHHHHHGG!#VOU ME ESCONDER NO HOTEL.;А-А-А-АХ-Х-Х-Х-Х-Х-Х-Х-Х-Х!#Я СПРЯЧУСЬ В ОТЕЛЕ.;いってええええええええええええええええ!#ホテルに ひなんだ!;아야아아아아아아아아아아아아아아!#호텔에 가서 숨어야겠어.;啊啊啊啊!#我要藏那个旅馆里.;啊啊啊啊!#我要藏那個旅館裡.;
;AHAHAHHHHHG!;AHAHAHHHHHHG!!;AHAHARRRRRRG !;AHAHAHHHHHHG!;¡AHAHAHHHHHHG!!;AH AH AAAHH!!!;AHAHAHHHHHHG!!!;А-ХА-ХА-ХА-Х-Х-Х!;つめてえええええええ!!;아야아아아아아아아아!;啊啊啊啊!;啊啊啊啊!;
;;;;;;;;;;;;;
;IZKINAKO SUITERA#MAILAZ IGO NAUTE!;I GOT AN UPGRADE#TO THE CORNER SUITE!;LE GÉRANT M'A OFFERT#LA SUITE AVEC SALLE DE BAINS !;ICH HABE EIN UPGRADE#FÜR DIE ECKSUITE!;¡ME HAN PASADO#A LA SUITE DE LA ESQUINA!;MI HANNO CONCESSO#LA SUITE D'ANGOLO!;GANHEI UM UPGRADE#PRA SUÍTE DO CANTINHO!;МНЕ ПОВЫСИЛИ КАТЕГОРИЮ НОМЕРА#ДО УГЛОВОГО ЛЮКСА!;かどの へやに#グレードアップ したぜ!;끝쪽 스위트룸으로#업그레이드 했어!;经理给我提供了#一个带浴室的套房!;經理給我提供了#一個帶浴室的套房!;
;AAHHHHHHHHHHHHGG!;AAAAHHHHHHHHHHHHHHHHHHHHGG!;AAAARRRRRRRRRRRRRRRRRRRRGG !;AAAAHHHHHHHHHHHHHHHHHHHHGG!;¡AAAAHHHHHHHHHHHHHHHHHHHHGG!;AAAAAAAAAAAAAAAAAAAAAHHHHH!;AAAAHHHHHHHHHHHHHHHHHHHHGG!;А-А-А-АХ-Х-Х-Х-Х-Х-Х-Х-Х-Х!;いってええええええええええええええええ!;아야아아아아아아아아아아아아아아!;呜呜呜呜!;嗚嗚嗚嗚!;
;AHAHAHHHHHG!;AHAHAHHHHHHG!!;AHAHARRRRRRG !;AHAHAHHHHHHG!;¡¡AHAHAHHHHHHG!!;AH AH AAAAAAAAHHH!!!;AHAHAHHHHHHG!!!;А-ХА-ХА-ХА-Х-Х-Х!;つめてえええええええ!!;이러어어어어어어언!;啊啊天哪!!;啊啊天哪!!;
;;;;;;;;;;;;;
;ESPLORATZEA NIRE BIZITZA DA!;EXPLORING IS MY LIFE!;J'AI EXPLORÉ, J'AI VU, J'AI CONQUIS !;FORSCHUNG IST MEIN LEBEN!;¡EXPLORAR ES MI VIDA!;L'ESPLORAZIONE È TUTTO PER ME!;MINHA VIDA É EXPLORAR!;ИССЛЕДОВАНИЯ... МОЯ ЖИЗНЬ!;たんけんは いきがいだ!;탐험은 내 인생이야!;我的生命就在于探索!;我的生命就在於探索!;
;UTZI BAKEAN!;LEAVE ME ALONE!;JE VOUS DÉCLARE PERSONA NON GRATA !;LASS MICH IN FRIEDEN!;¡DÉJAME EN PAZ!;LASCIAMI IN PACE!;ME DEIXA EM PAZ!;ОСТАВЬ МЕНЯ В ПОКОЕ!;わたしに かまわないでくれ!;날 내버려둬!;让我静一静!;讓我靜一靜!;
;LEKU HAU NIREA DA!;THIS PLACE IS MINE!;JE DÉFENDRAI CETTE COLONIE#JUSQU'À LA FIN !;DIESER ORT GEHÖRT MIR!;¡ESTE SITIO ES MÍO!;QUESTO POSTO È MIO!;ESSE LUGAR É MEU!;ЭТО МЕСТО ПРИНАДЛЕЖИТ МНЕ!;ここは わたしの とちだ!;여긴 내 거라고!;这是我的地盘!;這是我的地盤!;
;;;;;;;;;;;;;
