ID,Type,English,Arabic,ChineseSimplified,ChineseTraditional,Danish,Farsi,French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese,Russian,Spanish,Turkish,Ukrainian,,,,
SPEAK_CC06_02_02_02,Text,- I mean the web.,- أعني الشبكة.,- 我指的是网。,- 我指的是「網」。,- jeg mener edderkoppespindet.,- منظورم تار عنکبوت است.,- Je veux dire... nous sommes là pour retirer la toile.,- Ich meine die Spinnweben.,- maksudku jaringnya.,"- voglio dire, sistemare la ragnatela.",- つまり、クモの巣だ。,- 제 말은 거미줄이요.,- maksud saya web.,"- te wszystkie sieci, znaczy.",- Digo a teia.,- то есть паутину.,- armiarma sarea esan nahi dut.,- Ağı kastediyorum.,- Я маю на увазі павутину.,,,,
SPEAK_CC06_02_03_01,Text,Praise the mind!,يحيا العقل!,伟哉大脑！,偉哉內心！,Velsign sindet!,درود بر ذهن!,Vive l'ezprit !,Der Verstand sei gepriesen!,Hidup pikiran!,Zelebra la mente!,心に敬意を！,마음을 찬양하라!,Pujian untuk minda ze!,Chwała niech będzie umysłowi!,Un viva à mente!,Хвала разумен!,Goretsi gogoa!,Ze zihnini övün!,Слава розумові!,,,,
SPEAK_CC06_03_01_01,Text,Yick. That nasty webbing is everywhere.,نعم. الشبكة العفنة في كل مكان.,恶心，到处都是讨厌的蜘蛛网。,噁。到處都是討厭的蜘蛛網。,Ad. Det ulækre edderkoppespind er over det hele.,اووخ. این تار عنکبوت چندش آور همه جا هست.,Yick. Cette saleté de toile est partout.,Igitt. Das sind vielleicht eklige Spinnweben überall.,Idih. Jaring menjijikkan itu ada di mana-mana.,Yick. Quella rete disgustosa è ovunque.,うぇ。気持ち悪いクモの巣だらけだ。,이그. 엉망진창인 거미줄이 곳곳에 있다.,Yek. Sarang labah-labah kotor itu ada di mana-mana sahaja.,Okropność. Ta paskudna pajęczyna jest wszędzie.,Eca. Por todo lugar tem teia de aranha.,Фу. Эта мерзкая паутина здесь повсюду.,Bai. Sare higuingarri hori alde guztietan dago.,Yikk. Bu iğrenç ağ her yerde.,Фу. Ця гидка павутина повсюди.,,,,
SPEAK_CC06_03_02_01,Text,We are getting close. I can't wait!,نحن نقترب كثيرًا. لا أستطيع الانتظار!,我们越来越近了。我等不了了！,我們越來越靠近了。真是迫不及待！,Vi nærmer os. Jeg kan ikke vente!,داریم نزدیک می شویم. زود باش زود باش!,Nous sommes proches. J'ai hâte !,Wir kommen ihr näher. Ich kann es kaum erwarten!,Kita semakin dekat. Aku sudah tidak sabar!,Ci stiamo avvicinando. Non vedo l’ora!,近づいているわ。待ちきれないね！,점점 가까워지고 있어. 기다릴 수 없어!,Kita sudah hampir. Saya tidak sabar!,Jesteśmy coraz bliżej. Już nie mogę się doczekać!,Estamos chegando perto. Mal posso esperar!,Мы приближаемся. Дождаться не могу!,Hurbiltzen ari gara. Izugarrizko gogoa dut!,Yaklaşıyoruz. Sabırsızlanıyorum!,Ми наближаємось. Аби ж швидше!,,,,
SPEAK_CC06_04_01_01,Text,The tower clocks need a synapse battery.,برج الساعة يحتاج إلى بطارية التشابك العصبي.,钟塔需要突触电池。,鐘塔需要來一個突觸電池。,Tårnuret mangler et synapse batteri.,ساعت های برج نیاز به یک باتری سیناپس دارند.,Les horloges des tours ont besoin d'une batterie synapse.,Die Turmuhren brauchen eine Synapsenbatterie.,Jam pada menara itu perlu baterai sinaps.,Gli orologi della torre hanno bisogno di una batteria sinapsi.,時計塔はシナプスバッテリーが必要ね。,시계탑은 시냅스 배터리가 필요하다.,Jam menara memerlukan bateri sinaps.,Zegary na wieży potrzebują baterii synaptycznej.,O relógio da torre precisa de uma bateria de sinapse.,В часы на башне надо вставить синапсную батарею.,Dorreko ordulariek sinapsi bateria bat behar dute.,Kule saatlerinin bir sinaps piline ihtiyacı var.,Для годинників на башті потрібна синапсна батарея.,,,,
SPEAK_CC06_05_01_01,Text,Cool. The tower is working again!,رائع. البرج صار يعمل ثانية!,酷！塔又开始工作了！,酷耶。鐘塔就會再次運作！,Fedt. Tårnet virker igen!,خوبه. برج دوباره دارد کار می کند!,Cool. La tour est de nouveau fonctionnelle !,Cool. Der Turm funktioniert wieder!,Keren. Menara itu kembali berfungsi!,Benissimo. La torre funziona di nuovo!,やった。塔がまた動き始めた！,좋아. 탑이 다시 작동해!,Hebat. Menara berfungsi lagi!,Czad. Wieża znów działa!,Legal. A torre está funcionando de novo!,Круто. Башня снова работает!,Bikain. Dorrea berriz martxan dago!,Güzel. Kule tekrar çalışıyor!,Круто. Башта знову працює!,,,,
SPEAK_CC06_06_02_01,Text,"Bite me, eight-legs. Time to bug out!",أنا هنا يا صاحب الثمانية أرجل. حان وقت القضاء على الحشرات!,咬我呀，八条腿。该撤了！,咬我啊，八腳怪。該撤退了！,"Rend og hop, otte-ben. Nu skal jeg 'avise' dig!",بیا من را گاز بگیر، هشت پا. وقت حشره کشی است!,"Mince, une huit pattes. Fichons le camp !","Beiß mich, Achtbeiner! Zeit, abzukriechen!","Gigit aku, kaki delapan. Waktunya menghajar bug!","Alla faccia tua, otto-zampe. È ora di darcela a gambe!",かかって来い、クモ野郎。虫退治の時間だ！,"날 물어, 발 8개야. 벌레 잡을 시간!","Gigit saya, lapan kaki. Masa untuk hapuskan pijat!","Ugryź mnie, ty ośmionogi robalu. Czas na odrobaczanie!","Venha me pegar, oito-pernas. Hora de exterminar!","Выкусите, восьминожки. Пора уходить!","Egidazu kosk, zortzi-zango. Uxa hemendik!",Isır beni sekiz bacaklı. Böcekleri dışarı çıkarma zamanı!,"Вкуси-но мене, вісім-ніг! Час змиватися!",,,,
SPEAK_CC06_07_01_01,Text,"Don't let the bedbugs bite, Spider.",لا تسمح لحشرات الفراش أن تنال منك أيها العنكبوت.,祝你好梦，蜘蛛。,別被臭蟲咬了，臭蜘蛛。,Tilbage til krybten med dig!,عنکبوت، اجازه نده ساس ها گازت بگیرند.,"Ça t'apprendra à prendre la mouche, l'araignée.","Lass dich nicht von den Wanzen beißen, Spinnchen.","Jangan biarkan kutu busuk itu menggigit, Laba-Laba.","Sogni d’oro, Ragno.",クモよ、ナンキンムシに噛ませるなよ。,"빈대가 물게 하지 말라고, 거미야.","Jangan biarkan pijat gigit, Labah-labah.","Nie pozwól, aby pogryzły cię pluskwy, pająku.","Não vá cair na própria teia, aranha.","Не дай клопам себя покусать, паук.","Ez zaitzatela zimitzek kosk egin, Armiarma.",Tahtakurusunun ısırmasına izin verme Örümcek.,"Не давай клопам себе кусати, Павуче.",,,,
SPEAK_CC06_07_02_01,Text,Down came the hammer and squashed the spider out.,ستأتي المطرقة لكي تحطم العنكبوت وتقض عليه.,锤子掉下，蜘蛛被打扁了。,一把鐵鎚掉下，把蜘蛛打扁。,Så kom hammeren og maste edderkoppens krop.,چکش افتاد بر سر عنکبوت و او را پته کرد.,"D'un gros coup de marteau, l'araignée a été écrasée.",Runter kam der Hammer und zerquetschte die Spinne.,Palunya jatuh dan menindih laba-laba.,Un colpo di martello e il ragno è stato spiaccicato.,ハンマーを振り出し、クモをつぶせ。,망치로 내려쳐서 거미를 짓누르다.,Ini dia penukul dan hancurkan labah-labah.,Opadł młotek i rozgniótł pająka.,E então veio o martelo que esmagou a aranha.,"И молот опустился вниз, раздавив паука к чертям.",Eta mailu bat jaitsi eta armiarma zanpatu zuen.,Çekiç aşağı geldi ve örümceği ezdi.,І опустився молоток — і розчавив павука.,,,,
SPEAK_CC06_07_04_01,Text,Whatever...,أيًا كان...,怎样都好...,都好啦...,"Jaah, jah.",حالا هر چی...,Bref...,Egal …,Terserah...,"Sì, sì, ok...",はいはい...,그러든가 말든가...,Apa-apa sahajalah...,Nieważne...,Tanto faz...,Плевать...,Zuk diozuna...,Her neyse...,Байдуже...,,,,
SPEAK_CC06_07_06_01,Text,Another nightmare bites the dust.,انتهاء كابوس آخر.,另一场噩梦败下阵来。,另一個惡夢魔王咬到灰塵。,Endnu et mareridt bider i støvet.,یک کابوس دیگر به درک واصل شد.,Un autre cauchemar mord la poussière.,Ein weiterer Alptraum beißt ins Gras.,Mimpi buruk lainnya mati.,Un altro incubo che mangia la polvere.,別の悪夢が埃に噛み付いた。,또다른 악몽이 먼지를 문다.,Satu lagi mimpi negeri menggigit habuk.,Kolejny koszmar gryzie piach.,Outro pesadelo derrotado.,Очередной кошмар покинул этот мир.,Menderatutako beste amesgaizto bat.,"Başka bir kabus, tozluyu ısırıyor.",Ще один жах перетворився на порох.,,,,
SPEAK_CC06_07_07_01,Text,"You're damn right. Just like in the old days, buddy!",أنت محق تمامًا. تمامًا مثل الأيام الخالية يا رفيقي!,你说的没错。就像从前一样，老兄！,你說的沒錯。就像過去的時光啊，伙伴！,Du har så ret! Ligesom i de gamle dage!,درسته پسر. مثل اون قدیم ها رفیق!,"Je ne te le fais pas dire. Comme au bon vieux temps, mon pote !","Da hast du wohl recht. Wie in der guten, alten Zeit, Kumpel!","Kamu benar. Seperti waktu itu, sobat!","Ci puoi giurare. Proprio come ai vecchi tempi, compare!",その通りだ。昔のようにな、相棒！,"그래 네가 옳다. 지난 날 처럼 말야, 친구!","Kamu sangat betul. Sama seperti pada masa dahulu, sahabatku!","Masz zupełną rację. Tak jak dawniej, kolego!","Sim, está certo. Como nos velhos tempos, amigo!","Ты чертовски прав. Всё как в старые добрые деньки, приятель!","Arrazoi guztia duzu. Garai zaharretan bezala, lagun!",Kesinlikle haklısın. Tıpkı eski günlerde olduğu gibi dostum!,"А й справді так. Як у старі часи, друже!",,,,
SPEAK_CC06_07_08_01,Text,Let's get this mask back to the gate!,هيا نعيد هذا القناع إلى البوابة!,让我们把这个面罩带回大门那儿！,我們把這張面具帶回大門！,Lad os tage masken tilbage til portalen!,بیا این ماسک را ببریم به دروازه!,Retournons ce masque au portail !,Bringen wir die Maske zurück zum Tor!,Ayo kembalikan masker ini ke gerbang!,Riportiamo questa maschera al portale!,このマスクを門に戻そう！,이 마스크를 게이트로 다시 가져가자!,Mari bawa semula topeng ini ke gerbang!,Zanieśmy maskę z powrotem do bramy!,Vamos levar esta máscara de volta ao portão!,Давай отнесем эту маску к воротам!,Eraman dezagun maskara hau atera bueltan!,Bu maskeyi kapıya geri getirelim!,Віднесемо цю маску назад до воріт!,,,,
SPEAK_CC06_07_09_01,Text,I hear you!,لقد سمعتك!,知道了！,知道了！,Hørt!,متوجه شدم!,Entendu !,Das musst du nicht zwei Mal sagen!,Aku mendengarmu!,Ricevuto!,聞こえたよ！,네 소리가 들려!,Saya dengar kamu!,Ja ci słyszę!,Estou contigo!,Я тебя слышу!,Ongi da!,Seni duyuyorum!,Я тебе чую!,,,,
SPEAK_CC06_08_01_01,Text,Those webs are stopping the clock!,هذه الشبكات توقف الساعة!,那些蜘蛛网让时钟无法运作！,這些蜘蛛網讓時鐘無法運作！,Edderkoppespindet blokerer for urene!,آن تارهای عنکبوت دارند ساعت را از کار می اندازند!,Ces toiles bloquent l'horloge !,Diese Spinnweben halten die Uhr an!,Jaring-jaring itu menghentikan jamnya!,Quelle ragnatele stanno fermando l’orologio!,クモの巣が時計を止めていたんだ！,저 거미줄이 시계를 멈추게 하고 있어!,Sarang labah-labah itu menghentikan jam!,Tę sieci zatrzymują zegar!,As teias estão impedindo o relógio de andar!,Паутина остановила часы!,Sare horiek ordularia geldituta dute!,O ağlar saati durduruyor!,Ця павутина зупиняє годинник!,,,,
SPEAK_CC06_08_02_01,Text,Maybe the spider's fat bum can smash the web?,هل تعتقد أن هذا العنكبوت الثمين قادر على تحطيم الشبكة؟,也许蜘蛛的大屁股能把网弄破？,或許蜘蛛的大屁股可以除掉蜘蛛網？,Måske kan edderkoppens store numse smadre spindet?,شاید کون گنده عنکبوت بتواند تار عنکبوت را له کند؟,Peut-être que les derrières de ces grosses araignées peuvent détruire les toiles ?,Vielleicht kann der dicke Hintern der Spinne das Netz kaputtmachen?,Mungkin pantat gemuk laba-laba bisa memukul jaringnya?,Forse il sederone del ragno può distruggere la tela?,クモのでかい尻でクモの巣を壊すことができるんじゃないか？,어쩌면 거미의 뚱뚱한 엉덩이가 거미줄을 뭉개뜨릴 수 있을까?,Mungkin bonggol lemak labah-labah boleh menghancurkan sarangnya?,Może gruby pajęczy tyłek rozbije tę sieć?,Talvez aquele traseiro gordo da aranha possa tirar a teia.,"Может быть, мы сможем разорвать паутину толстой паучьей задницей?",Beharbada armiarmaren ipurdi gizenak zanpa dezake sarea.,Örümceğin şişko poposu ağı parçalamış olabilir mi?,"Може, велетенське пузо павука знищить павутину?",,,,
SPEAK_CCHUB03_01_01_01,Text,"Ah, good old Cerebrum City.",آه، مدينة العقل القديمة والجيدة.,啊，过去美好的大脑城。,啊，美好的舊大腦城。,"Ah, gode gamle Storhjerneby.",آه، شهر مخی باستانی قشنگ من تو کجایی.,"Ah, cette bonne ville Cité Cérébrale.","Ach, die schöne, alte Großhirn-Stadt.","Ah, Kota Serebrum tua yang baik.","Ah, la cara, vecchia Città Cervello.",あぁ、なつかしの我が大脳シティ。,"아, 좋고 오래된 세레브럼 도시.","Ah, Bandar Cerebrum yang lama dan cantik.","Ach, stare dobre Mózgowie.","Ah, a boa e velha Cidade do Cérebro.","Ах, старый добрый Церебрум.","Ah, Garun Hiri zahar xarmagarria.","Ah, iyi ve yaşlı Beyin Şehri.","А, старе добре Мозкове місто.",,,,
SPEAK_CCHUB03_01_01_02,Text,I've had enough math for a year!,لقد أجريت عمليات حسابية تكفي لعام قادم!,这一年来我受够数学了！,這一年來我受夠數學了！,Jeg har haft nok matematik for et år!,به اندازه کافی در این یک سال با ریاضی سر و کله زدم!,J'ai eu assez de mathématiques pour une année entière !,Ich hatte genug Mathe für ein Jahr!,Matematika ini cukup untuk setahun!,Ho avuto abbastanza matematica per un anno!,今年は十分数学を解いた！,난 일년 동안 해야 할 계산을 다 한 것 같아!,Saya sudah cukup dengan matematik selama setahun!,Mam dosyć matematyki na cały rok!,Foi matemática para um ano todo!,Я сыт по горло математикой на год вперед!,Nahiko matematika izan dut urte baterako!,Bir yıldır yeterince hesap yaptım!,З мене математики досить на рік уперед!,,,,
SPEAK_CCHUB03_01_02_01,Text,Let's get the spider's mask to the gate -,هيا نعيد هذا قناع العنكبوت إلى البوابة-,让我们把蜘蛛面罩带回大门那儿！,我們把蜘蛛面具帶回大門，,Lad os få edderkoppens maske til porten -,بیا ماسک عنکبوت را به دروازه ببریم -,Retournons ce masque de l'araignée au portail -,Bringen wir die Spinnenmaske zum Tor –,Ayo kita kembalikan masker laba-laba ini ke gerbang -,Andiamo a portare la maschera del ragno al portale -,クモのマスクを門に戻そう -,이 거미 마스크를 게이트로 다시 가져가자-,Mari bawa semula topeng ke gerbang -,Weźmy maskę pajęczycy do bramy.,Vamos levar a máscara da aranha para o portão...,"Давай отнесем паучью маску к воротам,",Eraman dezagun armiarma maskara hau atera bueltan -,Örümceğin maskesini kapıya getirelim -,Віднесемо маску павука назад до воріт...,,,,
SPEAK_CCHUB03_01_02_02,Text,- so we can end this!,- حتى نتمكن من إنهاء هذا الأمر!,- 就可以结束这一切了！,就可以結束這趟旅程了！,- så vi kan aflutte det her!,- تا این بازی را تمامش کنیم!,qu'on puisse en terminer !,damit wir das zu Ende bringen können!,- agar kita bisa mengakhiri ini!,- così la facciamo finita!,- そしてこれを終わらせよう！,-그래서 이것을 끝내도록 말야!,- supaya kita boleh tamatkan ini!,I zakończmy to!,para terminarmos logo com isso!,чтобы покончить со всем этим!,- eta buka dezagun behingoz!,- böylece buna bir son verebiliriz!,... і покінчимо з цим!,,,,
SPEAK_CCHUB03_02_01_01,Text,Mayor. We're back with another mask!,العمدة. لقد عدنا بقناع آخر!,镇长。我们带回来另一个面罩！,市長。我們帶回另一張面具！,Borgmester! Vi er tilbage med endnu en maske!,شهردار. ما با یک ماسک دیگر برگشتیم!,Monsieur le Maire. Nous sommes de retour avec un autre masque !,"Bürgermeister. Wir sind wieder da, mit einer neuen Maske!",Wali Kota. Kami kembali dengan masker lainnya!,Sindaco. Siamo tornati con un’altra maschera!,市長。別のマスクを持って帰ってきたよ！,시장. 우리는 또 다른 마스크를 가지고 돌아왔어!,Datuk bandar. Kami sudah kembali dengan satu lagi topeng!,Burmistrzu. Wróciliśmy z kolejną maską!,Prefeito. Voltamos com outra máscara!,Мэр. Мы принесли еще одну маску!,Alkate. Beste maskara bat dakarkigu!,Belediye başkanı. Başka bir maskeyle döndük!,Мер. Ми повернулися з іще однією маскою!,,,,
SPEAK_CCHUB03_02_02_01,Text,"Ah, another foe falls before our fighter!",آه، خصم آخر سقط أمام مقاتلنا!,又一个敌人败在了我们战士跟前！,啊，又一個敵人輸給我們的戰士了！,"Ah, endnu en fjende falder så pænt!",آه، دشمن دیگری در مقابل جنگجوی ما زانو زده است!,"Ah, un autre ennemi vaincu par notre combattant !",Und ein weiterer Feind fällt vor unserem Kämpfer!,"Ah, satu lagi musuh jatuh sebelum kita serang!","Ah, un altro nemico cade davanti al nostro combattente!",あぁ、別の敵が私たちの戦士の前に敗れたんだな！,"아, 또 다른 적이 우리 싸움꾼 앞에 떨어지는군!","Ah, seorang lagi musuh tewas dengan pahlawan kita!",Kolejny wróg pada pokonany przez naszego wojownika!,"Ah, outro inimigo cai perante nosso guerreiro!","Ах, еще один враг пал от руки бойца!","Ah, gure gerlariaren aurka erori den beste etsai bat!","Ah, başka bir düşman savaşçımızdan önce düşüyor!","А, ще один ворог пав від руки нашого бійця!",,,,
SPEAK_CCHUB03_02_03_01,Text,"Yeah, mayor! This time a big fat spider!",نعم أيها العمدة! هذه المرة العنكبوت الضخم والثمين!,对，镇长！这次是一只大肥蜘蛛！,是啊，市長！這次是又大又肥的蜘蛛！,"Ja, Borgmester! Denne gang en stor tyk edderkop!",آره، شهردار جون! این بار یک عنکبوت چاق بزرگ!,"Ouais, monsieur le Maire. Et une grosse araignée, cette fois !","Jawohl, Bürgermeister! Diesmal ist es eine große, dicke Spinne!","Ya, wali wota! Kali ini laba-laba gemuk besar!","Sì, Sindaco! Questa volta un grande e grosso ragno!",そうさ、市長！今回は太った大きなクモだった！,"맞아요, 시장님! 이번은 크고 뚱뚱한 거미!","Ye, datuk bandar! Kali ini labah-labah besar yang gemuk!","Tak, Burmistrzu! Tym razem to wielka, gruba pajęczyca!","Sim, prefeito! Dessa vez foi uma aranha enorme!","Да, мэр! На этот раз мы сражались с большим толстым пауком!","Bai, alkate! Oraingoan armiarma handia izan da!","Evet, belediye başkanı! Bu sefer büyük şişko bir örümcek!","Так, мер! Цього разу — великий товстий павук!",,,,
SPEAK_CCHUB03_02_04_01,Text,Now use the mask before it is too late.,الآن استخدم القناع قبل فوات الأوان.,现在就用面罩，否则就来不及了。,現在，在太遲之前趕快使用面具。,"Brug nu masken, før det er for sent.",خیلی خب قبل از اینکه خیلی دیر بشود از ماسک استفاده کن.,"Utilise le masque maintenant, avant qu'il ne soit trop tard.","Benutzt jetzt die Maske, sonst ist es bald zu spät.",Sekarang gunakan maskernya sebelum terlambat.,Adesso usa la maschera prima che sia troppo tardi.,さぁ、遅くなる前にマスクを使おう。,너무 늦기 전에 어서 이 마스크를 써요.,Sekarang pakai topeng ini sebelum terlambat.,"Użyj maski, zanim będzie za późno.",Agora use a máscara antes que seja tarde.,"А теперь используйте маску, пока не стало слишком поздно.",Orain erabili maskara berandu izan baino lehen.,Şimdi maskeyi geç olmadan kullanın.,"Використайте маску, поки ще не пізно.",,,,
SPEAK_CCHUB03_02_05_01,Text,"Alright, Mayor. I'll send it through the gate!",حسنًا أيها العمدة. سأرسله عبر البوابة!,好的，镇长。我会把它送出大门的！,好的，市長。我會把它送到大門裡！,"Okay, Borgmester. Jeg sender den gennem porten.",بسیار خب، شهردار. من آن را داخل دروازه می اندازم!,"C'est compris, monsieur le Maire. Je vais le balancer dans le portail !","Alles klar, Bürgermeister. Ich schicke sie durch das Tor, so schnell es nur geht!","Baiklah, Wali Kota. Aku akan mengembalikannya ke gerbang!","Va bene, Sindaco. La spedisco attraverso il portale!",そうだね、市長。門を通して送るよ！,"알겠어요, 시장님. 제가 그것을 게이트를 통해 보낼게요!","Baiklah, Datuk Bandar. Saya akan hantarnya melalui gerbang!","W porządku, Burmistrzu. Wyślę ją przez bramę!","Certo, Prefeito. Vou mandá-la pelo portão!","Хорошо, мэр. Я швырну ее через ворота!","Ongi da, alkate. Atetik zehar bidaliko dut!","Pekala, Belediye Başkanı. Bunu kapıdan göndereceğim!","Гаразд, мер. Я відправлю її через ворота!",,,,
SPEAK_CCHUB03_02_06_01,Text,He he he...,ها ها ها...,呵呵呵...,嘿嘿嘿…,He he he...,اون اون اون...,Hé hé hé...,Hehehe …,He he he...,Eh eh eh...,へへへ...,헤 헤 헤...,He he he...,He he he...,He he he...,Хи-хи-хи...,Je je je...,He he he...,Хе-хе-хе...,,,,
SPEAK_CCHUB03_02_07_01,Text,"Argh, now look what you made me do!",آرجه، الآن انظر ما فعلته بي!,啊，看看你让我做了什么！,呃啊，看看你做了什麼好事！,"Argh, se nu hvad du fik mig til at gøre!",آخ، ببین چکار کردی با من!,"Argh, regardez ce que vous m'avez fait faire !","Argh, schau nur, was ich jetzt wegen dir tun musste!","Ah, sekarang lihat apa yang kau perbuat padaku!","Ah, ora guarda che mi hai fatto fare!",あぁ、なんてことをさせるんだ！,"아아, 당신이 내게 무엇을 하게 했는지 보세요!","Argh, sekarang lihat apa yang kamu sudah buatkan saya lakukan!","Argh, no i do czego ty mnie zmuszasz!?","Argh, olha o que você me fez fazer!","Гр-р-р, вот что мне пришлось сделать из-за тебя!","Argh, begira zer eginarazi didazun!","Ah, şimdi bana yaptırdıklarınızı görün!","А, тільки подивіться, що ви примусили мене зробити!",,,,
SPEAK_CCHUB03_03_01_01,Text,Hua!,غبي!,哇！,哇！,Hua!,هوو!,Ouah !,Hua!,Hua!,Hua!,うわ！,후아!,Hua!,Hua!,Huá!,Кия!,Jua!,Ha!,Ха!,,,,
SPEAK_CCHUB03_03_02_01,Text,Bon voyage!,رحلة سعيدة!,一路顺风！,一路順風！,Bon voyage!,سفر بخیر!,Bon voyage !,Bon voyage!,Selamat jalan!,Bon voyage!,行ってらっしゃい！,좋은 여행 되세요!,Selamat tinggal!,Bon voyage!,Bon voyage!,Приятного путешествия!,Bon voyage!,İyi yolculuklar!,Щасливої дороги!,,,,
SPEAK_CCHUB03_03_03_01,Text,It works! The gate is stable!,إنها تعمل! البوابة صارت مستقرة!,管用了！大门变得稳定了！,成功了！大門變得穩定了！,Det virkede! Portalen er stabil!,کار کرد! دروازه ثابت شد!,Ça marche ! Le portail est stable !,Es funktioniert! Das Tor ist stabil!,Berhasil! Gerbangnya stabil!,Funziona! Il portale è stabile!,上手くいった！門は安定している！,작동한다! 게이트는 안정적이야!,Berkesan! Gerbang stabil!,To działa! Brama jest stabilna!,Funciona! O portão está estável!,Сработало! Ворота стабильны!,Badabil! Atea egonkor dago!,İşe yarıyor! Kapı dengede!,Працює! Ворота працюють!,,,,
SPEAK_CCHUB03_03_04_01,Text,Leap inside and you will find - ,اقفز بداخلها، وستجد- ,跳进去，你会发现 - ,跳進去，你就會找到 ,"Hop så ind, og du vil finde",بپرید داخل تا - ,Si à l'intérieur vous sautez - ,Spring hinein und sei nicht so angespannt – ,Melompatlah masuk dan kamu akan menemukan - ,Salta dentro e troverai immediatamente - ,喜び勇んで中に入ると - ,안으로 들어가면 당신이 발견 할 것은 - ,Lompat ke dalam dan anda akan mendapati - ,"Wskocz do środka, a znajdziesz tam ",Pule para dentro e verá rapidinho... ,Если внутрь ты шагнешь — ,Jauzi egin barrura eta bilatu bidea,Sıçrayın ve bulacaksınız -,Плигайте до середини та знайдете... ,,,,
SPEAK_CCHUB03_03_04_02,Text,the pathway to the conscious mind,الطريق إلى العقل الإدراكي,前往大脑意识的通道,前往意識內心的小徑,- vejen til det bevidste sind.,مسیر ضمیر خودآگاه را پیدا کنید,le Sentier de l'esprit conscient vous emprunterez,es offenbart sich nämlich der Pfad zum bewussten Verstand,jalan menuju alam sadar,il sentiero che conduce alla conscia mente,意識へ通じる経路がある,의식의 마음으로 가는 통로,laluan ke minda yang sedar,Drogę do umysłu świadomego bram,para a consciência o caminho.,путь в сознание найдешь,aurkitzeko gogo kontzientea.,bilinçli zihnin yolu,дорогу до психічної діяльності.,,,,
SPEAK_CCHUB03_04_01_01,Text,Alright! Let's see what's on the other side!,حسنًا! هيا نرى ما يوجد في الجهة الأخرى!,好的！让我们看看另一边是什么！,好喔！讓我們看看另一邊有什麼！,Okay! Lad os se hvad der er omme på den anden side!,بسیار خب! بیا بریم ببینیم آن طرف چه خبر است!,D'accord ! Allons voir ce qu'il y a de l'autre côté !,"Okay! Schauen wir mal, was sich auf der anderen Seite befindet!",Baiklah! Ayo kita lihat apa yang ada di sini lain!,Va bene! Vediamo che c’è dall’altra parte!,オッケー！反対側になにがあるか見てみよう！,좋았어! 반대쪽에는 무엇이 있는지 보자구!,Baiklah! Mari lihat apa yang ada di sebelah lain!,"W porządku. Sprawdźmy, co jest po drugiej stronie!",Certo! Vamos ver o que tem do outro lado!,"Ладно! Посмотрим, что там на другой стороне!",Ederki! Ikus dezagun zer dagoen beste aldean!,Pekala! Öteki tarafta neler olduğunu görelim!,"Гаразд! Подивимось, що на іншій стороні!",,,,
SPEAK_CCHUB03_04_02_01,Text,"Lead on, buddy!",تقدم يا عزيزي!,带路吧，老兄！,帶領我們向前走吧，伙伴！,"Før an, min ven!",تو از جلو برو، رفیق!,"Passe devant, mon pote !","Nach dir, Kumpel!","Kamu di depan, teman!","Fai strada, compare!",行け、相棒！,"앞장서, 친구!","Jalan dulu, sahabatku!","Prowadź, kolego!","Vá na frente, amigo!","Показывай дорогу, приятель!","Zu lehenengo, lagun!","İlerle, dostum!","Веди, друже!",,,,
SPEAK_CLOCKTOWERGUARD_01_01,Text,Ze spider have taken over ze clucktower!,لقد استولى العنكبوت على برج الساعة!,蜘蛛已经占领了钟塔！,蜘蛛已經佔領了鐘搭！,Edderkopfen har tagen over mit klokkentårn!,عنکبوت برج ساعت را گرفته است!,Les zaraignées ont pris le contrôle de l'horloze !,Die Spinne hat den Uhrenturm besetzt!,Laba-laba sudah mengambil alih menara jam!,Il ragno ha prezo il zopravvento nella Torre dell’Orologio!,クモが時計塔を占領してしまった！,그 거미가 시계탑을 장악했어!,Labah-labah Ze telah menakluk menara jam ze!,Pająk wdarł się do Wieży Zegarowej!,A arranha tomou conta da torre!,Паукицен захватилен Часовую башнен!,Armiarmek Orzulari-Zorrea berenganatu zute!,"Ze örümcek, ze saat kulesini ele geçirdi!",Паф-фук захоп-пив б-башту!,,,,
SPEAK_CLOCKTOWERGUARD_01_02,Text,Ze mind will be kabut!,سيكون العقل مدمرًا!,大脑要完蛋了！,內心一定會完蛋！,Zindet vil gå helt kaputt!,ذهن نابود خواهد شد!,L'ezprit va être kaput !,Der Verstand wird kaputt gehen!,Pikiran akan rusak!,La mente zarà kaput!,心は破壊されるだろう！,마음은 망가질 거야!,Minda Ze akan rosak!,Umysł będzie kaput!,A mente está estrragada!,Разумен будет капут!,Gogoa kaput egingo zu!,Ze zihin kabut olacak!,Розумові капут!,,,,
SPEAK_CLOCKTOWERGUARD_02_01,Text,Praise ze mind!,يحيا العقل!,伟哉大脑！,偉哉內心！,Velsign zindet!,درود بر ذهن!,Vive l'ezprit !,Der Verstand sei gepriesen!,Hidup pikiran!,Zelebra la mente!,心に敬意を！,마음을 찬양하라!,Pujian untuk minda ze!,Chwała niech będzie umysłowi!,Un viva à mente!,Хвала разумен!,Goretzi gogoa!,Ze zihnini övün!,Слава розумові!,,,,
